Date,Open,High,Low,Close,Adj Close,Volume
1992-07-01,9.880000,9.880000,9.880000,9.880000,2.479221,0
1992-07-02,9.960000,9.960000,9.960000,9.960000,2.499294,0
1992-07-06,9.970000,9.970000,9.970000,9.970000,2.501806,0
1992-07-07,9.980000,9.980000,9.980000,9.980000,2.504312,0
1992-07-08,9.980000,9.980000,9.980000,9.980000,2.504312,0
1992-07-09,9.980000,9.980000,9.980000,9.980000,2.504312,0
1992-07-10,9.970000,9.970000,9.970000,9.970000,2.501806,0
1992-07-13,9.960000,9.960000,9.960000,9.960000,2.499294,0
1992-07-14,9.960000,9.960000,9.960000,9.960000,2.499294,0
1992-07-15,9.990000,9.990000,9.990000,9.990000,2.506822,0
1992-07-16,10.000000,10.000000,10.000000,10.000000,2.509333,0
1992-07-17,9.980000,9.980000,9.980000,9.980000,2.504312,0
1992-07-20,9.980000,9.980000,9.980000,9.980000,2.504312,0
1992-07-21,9.980000,9.980000,9.980000,9.980000,2.504312,0
1992-07-22,10.000000,10.000000,10.000000,10.000000,2.509333,0
1992-07-23,10.050000,10.050000,10.050000,10.050000,2.521877,0
1992-07-24,10.030000,10.030000,10.030000,10.030000,2.516859,0
1992-07-27,10.030000,10.030000,10.030000,10.030000,2.516859,0
1992-07-28,10.050000,10.050000,10.050000,10.050000,2.521877,0
1992-07-29,10.050000,10.050000,10.050000,10.050000,2.521877,0
1992-07-30,10.000000,10.000000,10.000000,10.000000,2.509333,0
1992-07-31,10.000000,10.000000,10.000000,10.000000,2.524225,0
1992-08-03,10.000000,10.000000,10.000000,10.000000,2.524225,0
1992-08-04,10.020000,10.020000,10.020000,10.020000,2.529272,0
1992-08-05,10.030000,10.030000,10.030000,10.030000,2.531797,0
1992-08-06,10.030000,10.030000,10.030000,10.030000,2.531797,0
1992-08-07,10.060000,10.060000,10.060000,10.060000,2.539372,0
1992-08-10,10.090000,10.090000,10.090000,10.090000,2.546941,0
